token,rating,date,version,used_count,master_word,token_category
money,3,2020-03-28,8.7,1,money,money_terms
money,3,2020-09-04,,1,money,money_terms
money,3,2019-02-04,6.8,1,money,money_terms
money,3,2019-05-25,7.5,1,money,money_terms
money,3,2020-05-31,8.8,1,money,money_terms
money,3,2019-04-04,7.02,1,money,money_terms
money,3,2020-09-11,,1,money,money_terms
money,3,2019-12-07,8.2,2,money,money_terms
money,3,2020-05-13,8.8,1,money,money_terms
money,3,2019-01-19,,2,money,money_terms
money,3,2019-10-19,,1,money,money_terms
money,3,2019-05-03,7.4,1,money,money_terms
money,3,2019-11-10,8.0,3,money,money_terms
money,3,2019-12-26,8.2,1,money,money_terms
money,3,2020-03-10,8.2,1,money,money_terms
money,3,2019-12-05,8.2,1,money,money_terms
money,3,2020-04-16,8.7,1,money,money_terms
money,3,2019-05-18,6.9,1,money,money_terms
money,3,2020-07-14,,1,money,money_terms
money,3,2020-08-09,8.8,1,money,money_terms
money,3,2019-12-01,8.2,1,money,money_terms
money,3,2020-02-18,8.2,2,money,money_terms
money,3,2020-02-11,8.2,1,money,money_terms
money,3,2020-03-19,8.2,1,money,money_terms
money,3,2020-05-15,8.8,1,money,money_terms
money,3,2020-05-02,,1,money,money_terms
money,3,2019-07-22,,1,money,money_terms
money,3,2019-05-09,7.4,1,money,money_terms
money,3,2019-01-05,6.6,1,money,money_terms
money,3,2019-12-02,8.2,1,money,money_terms
money,3,2019-03-01,,1,money,money_terms
money,3,2019-12-08,8.2,1,money,money_terms
money,3,2019-08-18,7.7,1,money,money_terms
money,3,2020-04-19,,1,money,money_terms
money,3,2019-11-18,8.0,1,money,money_terms
money,3,2020-02-23,8.2,1,money,money_terms
money,3,2019-04-20,7.4,1,money,money_terms
money,3,2018-12-21,6.6,1,money,money_terms
money,3,2019-06-26,7.7,1,money,money_terms
money,3,2020-04-27,8.7,1,money,money_terms
money,3,2020-08-02,8.8,1,money,money_terms
money,3,2019-07-10,7.7,1,money,money_terms
money,3,2019-05-11,7.5,1,money,money_terms
money,3,2019-05-10,7.5,1,money,money_terms
money,3,2019-04-29,7.4,3,money,money_terms
money,3,2019-04-28,7.4,1,money,money_terms
money,3,2019-04-13,7.02,2,money,money_terms
money,3,2019-04-08,7.02,1,money,money_terms
money,3,2019-03-05,6.9,1,money,money_terms
money,3,2019-03-08,6.9,1,money,money_terms
money,3,2019-03-09,6.9,1,money,money_terms
money,3,2019-03-04,6.9,1,money,money_terms
money,3,2019-05-24,,2,money,money_terms
money,3,2019-03-03,,3,money,money_terms
and,3,2020-10-24,9.2,1,,
and,3,2020-10-09,9.0,1,,
and,3,2020-10-28,,2,,
and,3,2020-10-18,9.0,1,,
and,3,2020-08-23,8.8,3,,
and,3,2020-09-24,,3,,
and,3,2020-09-24,9.0,1,,
and,3,2020-10-26,,1,,
and,3,2019-07-13,7.7,1,,
and,3,2019-08-03,7.7,1,,
and,3,2020-05-05,8.7,3,,
and,3,2020-05-05,,2,,
and,3,2020-05-05,8.8,1,,
and,3,2020-08-25,9.0,1,,
and,3,2020-04-10,8.7,4,,
and,3,2019-04-10,,2,,
and,3,2020-05-12,8.8,3,,
and,3,2020-05-12,,1,,
and,3,2020-07-06,8.8,1,,
and,3,2019-11-22,8.0,2,,
and,3,2020-06-18,8.8,1,,
and,3,2020-04-25,8.7,3,,
and,3,2020-05-10,8.8,1,,
and,3,2019-10-29,8.0,1,,
and,3,2020-04-12,8.7,2,,
and,3,2020-07-22,8.8,2,,
and,3,2020-03-11,8.2,1,,
and,3,2020-07-03,8.8,2,,
and,3,2020-03-30,,2,,
and,3,2020-03-30,8.7,1,,
and,3,2020-09-20,,1,,
and,3,2020-02-19,8.2,2,,
and,3,2020-05-16,,2,,
and,3,2020-05-16,8.8,2,,
and,3,2019-07-31,7.7,3,,
and,3,2020-04-30,8.7,2,,
and,3,2020-06-13,8.8,1,,
and,3,2020-04-21,8.7,1,,
and,3,2020-01-31,8.2,1,,
and,3,2020-05-13,8.8,1,,
and,3,2020-05-19,8.8,2,,
and,3,2020-01-10,8.2,2,,
and,3,2019-12-07,8.2,1,,
and,3,2019-01-29,6.7,1,,
and,3,2020-06-25,8.8,2,,
and,3,2019-02-16,6.9,1,,
and,3,2020-07-19,8.8,1,,
and,3,2020-06-28,,1,,
and,3,2020-07-20,8.8,1,,
and,3,2020-04-01,8.7,1,,
and,3,2020-10-30,,1,,
and,3,2019-12-02,8.2,2,,
and,3,2020-07-09,8.8,1,,
and,3,2019-08-10,7.7,1,,
