token,rating,date,version,used_count
very,5,2020-05-29,,1
very,5,2020-05-29,,1
very,5,2020-05-29,,1
very,5,2020-06-14,8.8,2
very,5,2020-06-14,6.9,1
very,5,2020-06-14,,1
very,5,2019-06-04,7.5,3
very,5,2020-07-31,8.8,3
very,5,2019-02-16,6.9,1
very,5,2020-08-06,8.8,2
very,5,2020-08-06,8.2,1
very,5,2020-08-07,8.8,6
very,5,2020-06-17,8.8,3
very,5,2019-10-15,8.0,4
very,5,2020-03-18,,1
very,5,2020-03-18,8.2,3
very,5,2020-03-18,,1
very,5,2020-06-24,8.8,3
very,5,2019-12-04,,2
very,5,2019-12-04,8.2,1
very,5,2020-07-17,8.8,2
very,5,2019-11-07,8.0,2
very,5,2020-07-09,8.8,2
very,5,2018-12-31,6.6,1
very,5,2020-09-27,,1
very,5,2020-09-27,,1
very,5,2020-09-27,9.0,1
very,5,2020-09-27,,1
very,5,2019-02-09,6.8,3
very,5,2020-03-13,8.2,4
very,5,2020-03-13,,1
very,5,2020-01-22,8.2,1
very,5,2019-05-27,7.5,3
very,5,2019-08-01,7.7,2
very,5,2020-03-25,8.2,4
very,5,2020-04-15,8.7,2
very,5,2020-01-05,8.2,6
very,5,2020-01-05,,1
very,5,2020-01-28,8.2,2
very,5,2020-01-28,,1
very,5,2019-12-12,,1
very,5,2019-12-12,8.2,1
very,5,2020-06-07,,1
very,5,2020-06-07,,1
very,5,2020-06-07,8.8,1
very,5,2020-10-26,,1
very,5,2020-10-26,,1
very,5,2020-11-09,9.2,2
very,5,2020-11-09,,1
very,5,2020-03-12,8.2,1
very,5,2020-03-12,,1
very,5,2020-03-24,8.2,3
very,5,2020-03-24,,1
very,5,2020-06-12,8.8,4
very,5,2020-06-12,,1
very,5,2020-06-12,,1
very,5,2020-05-27,8.8,3
very,5,2020-05-27,,1
very,5,2020-05-27,,1
very,5,2020-01-14,,1
very,5,2020-01-14,8.2,4
very,5,2020-04-28,8.7,3
very,5,2020-04-28,,2
very,5,2020-01-13,8.2,5
very,5,2019-09-23,7.91,1
very,5,2020-04-10,,1
very,5,2020-04-10,8.7,3
very,5,2020-05-18,8.8,5
very,5,2019-12-29,8.2,4
very,5,2020-10-06,9.0,3
very,5,2020-10-06,,1
very,5,2020-07-07,8.8,3
very,5,2020-05-31,8.8,2
very,5,2019-05-31,7.4,1
very,5,2020-04-24,8.7,1
very,5,2020-04-24,,1
very,5,2020-04-24,,1
very,5,2020-09-10,9.0,3
very,5,2020-02-21,8.2,3
very,5,2020-09-18,9.0,3
very,5,2019-12-15,8.2,2
very,5,2020-01-07,8.2,2
very,5,2020-01-12,,1
very,5,2020-01-12,8.2,1
very,5,2020-02-06,8.2,3
very,5,2020-01-02,,1
very,5,2020-01-02,8.2,2
very,5,2020-10-07,,1
very,5,2020-05-09,8.8,6
very,5,2020-05-09,,1
very,5,2019-05-19,7.5,1
very,5,2019-12-25,8.2,2
very,5,2019-12-25,,1
very,5,2019-12-25,,1
very,5,2020-07-30,8.8,2
very,5,2019-10-17,8.0,2
very,5,2020-01-29,8.2,3
very,5,2020-01-29,,1
very,5,2020-08-13,,1
very,5,2020-08-13,,1
very,5,2020-08-13,8.8,2
very,5,2020-03-15,,2
very,5,2020-03-15,,2
very,5,2020-03-15,8.2,1
very,5,2020-03-15,,1
very,5,2020-03-15,,1
very,5,2020-01-09,8.2,1
very,5,2019-01-03,6.6,1
very,5,2020-07-04,,1
very,5,2020-07-04,8.8,1
very,5,2020-10-05,9.0,3
very,5,2020-04-11,8.7,1
very,5,2020-04-11,,1
very,5,2020-07-06,,1
